Rank,Team Name,Total point,Total Goal Difference
1,Liverpool,107,63
2,Man City,77,54
3,Leicester,75,43
4,Chelsea,66,18
5,Tottenham,59,15
6,Man United,58,14
7,Wolves,56,9
8,Sheffield United,52,2
9,Burnley,52,-7
10,Crystal Palace,52,-10
11,Newcastle,52,-16
12,Arsenal,50,1
13,Southampton,49,-14
14,Everton,41,-21
15,West Ham,39,-14
16,Aston Villa,37,-21
17,Bournemouth,36,-24
18,Brighton,34,-21
19,Norwich,30,-31
20,Watford,30,-40
